number,combine_polarity,combine_subjectivity,rating_polarity,rating_subjectivity,confidence_polarity,confidence_subjectivity,summary_polarity,summary_subjectivity,strength_weakness_polarity,strength_weakness_subjectivity,question_polarity,question_subjectivity,limitation_polarity,limitation_subjectivity
3025,0.14035682454800105,0.5474598930481285,0.1826388888888889,0.5347222222222222,0.3,0.6083333333333334,0.05909090909090909,0.4386363636363636,0.16905594405594407,0.5615967365967365,0.11688311688311688,0.4610389610389611,0.04859307359307358,0.6250360750360751
5769,0.10735294117647058,0.4107843137254901,0.075,0.47500000000000003,0.10833333333333334,0.275,0.07666666666666666,0.37,0.2847222222222222,0.5930555555555556,-0.041666666666666664,0.4583333333333333,0.08888888888888889,0.14444444444444446
6510,0.19004629629629627,0.42569444444444443,0.2380952380952381,0.45238095238095244,0.19999999999999998,0.4444444444444445,0.2555555555555556,0.4055555555555556,0.19666666666666668,0.4216666666666667,0.02,0.4133333333333333,0.195,0.4216666666666667
6640,0.12053571428571429,0.3698412698412698,0.16166666666666668,0.32666666666666666,0.13999999999999999,0.3866666666666667,0.09624999999999999,0.28500000000000003,0.14814814814814817,0.4037037037037037,-0.004999999999999999,0.495,0.15833333333333333,0.4583333333333333
7169,0.11996753246753243,0.3788149350649351,0.13854166666666667,0.3510416666666667,0.19999999999999998,0.3444444444444445,0.09123376623376624,0.3016233766233766,0.14916666666666667,0.4458333333333333,0.06,0.595,0.11071428571428572,0.29642857142857143
8594,0.12246031746031746,0.348968253968254,0.17777777777777778,0.31111111111111106,0.19999999999999998,0.3444444444444445,0.05,0.1,0.10860805860805861,0.31611721611721616,0.0,0.0,0.1326530612244898,0.5704081632653061
9378,0.08493589743589745,0.4041666666666667,0.22166666666666668,0.48166666666666674,0.19999999999999998,0.3444444444444445,-0.00416666666666667,0.3847222222222222,0.05249999999999999,0.45583333333333337,0.0,0.0,0.0,0.1
10162,0.1160501700680272,0.3857568027210884,0.18472222222222223,0.4527777777777778,0.19999999999999998,0.3444444444444445,0.07821428571428571,0.24357142857142855,0.121875,0.4010416666666667,0.0,0.0,0.029166666666666664,0.4375
10438,0.0969298245614035,0.35657894736842105,0.008333333333333335,0.26388888888888895,0.25555555555555554,0.4222222222222223,0.125,0.175,0.11041666666666666,0.49791666666666673,0.035416666666666666,0.22708333333333333,0.14583333333333334,0.3875
11146,0.12943349753694583,0.38337438423645304,0.19444444444444445,0.3611111111111111,0.19999999999999998,0.4444444444444445,0.025,0.32500000000000007,0.14375000000000002,0.4381944444444444,0.0,0.0,0.040476190476190485,0.2648809523809524
